"ID","Grupo Muscular","Ejercicio","Nivel","Equipamiento","Descripción"
"182","Pliométricos","Ball slams","Intermedio","Balón medicinal","Desde posición de pie, levantar un balón medicinal por encima de la cabeza y lanzarlo con fuerza contra el suelo, recogiéndolo al rebote"
"183","Pliométricos","Battle ropes","Intermedio","Cuerda de batalla","Con un extremo de cuerda de batalla en cada mano, mover los brazos de forma explosiva para generar olas en las cuerdas (entrenamiento de potencia y resistencia)"
"184","Pliométricos","Box jumps","Principiante-Intermedio","Caja","Salto explosivo sobre un cajón pliométrico, aterrizando con ambos pies y extendiendo cadera y rodillas al subir"
"185","Pliométricos","Burpee con balón","Avanzado","Balón medicinal","Realizar un burpee sosteniendo un balón medicinal: flexión, recoger balón al saltar pies al frente, y realizar un salto vertical con el balón"
"186","Pliométricos","Burpees","Principiante-Intermedio","Peso corporal","Desde de pie, agacharse a posición de flexión, hacer una flexión de pecho, impulsar pies al frente y saltar vertical con brazos arriba"
"187","Pliométricos","Clean and jerk","Avanzado","Barra","Levantamiento olímpico: desde el suelo llevar la barra hasta los hombros (clean) y luego impulsar sobre la cabeza (jerk) con extensión completa"
"188","Pliométricos","Clapping push-ups (flexiones pliométricas)","Intermedio","Peso corporal","Flexiones explosivas donde las manos se separan del suelo en la subida lo suficiente para dar una palmada antes de aterrizar"
"189","Pliométricos","Double unders","Intermedio","Cuerda","Salto de comba pasando la cuerda dos veces bajo los pies en un solo salto (requiere coordinación y velocidad)"
"190","Pliométricos","Dumbbell snatch","Intermedio","Mancuernas","Desde sentadilla parcial, impulsar una mancuerna desde el suelo hasta posición extendida sobre la cabeza en un solo movimiento explosivo"
"191","Pliométricos","Flexiones con palmada","Intermedio","Peso corporal","Flexión explosiva, al subir empujar con fuerza para despegar las manos y dar una palmada"
"192","Pliométricos","Man maker (con mancuernas)","Avanzado","Mancuernas","Secuencia compleja: desde posición de plancha con mancuernas hacer una flexión, luego remo con cada brazo, recoger pies al frente en sentadilla y realizar clean & press con las mancuernas"
"193","Pliométricos","Man maker con KB","Avanzado","Kettlebell","Variación del Man Maker usando 2 kettlebells en vez de mancuernas (mismo patrón: flexión + remo + clean + press)"
"194","Pliométricos","Salto en profundidad","Avanzado","Caja","Desde encima de un cajón, dejarse caer al suelo y al aterrizar impulsar inmediatamente un salto vertical máximo (entrenamiento de potencia/reactivo)"
"195","Pliométricos","Saltos laterales (skater jumps)","Principiante","Peso corporal","Saltos explosivos de lado a lado, impulsándose con una pierna y aterrizando sobre la pierna opuesta (mejora potencia lateral y equilibrio)"
"196","Pliométricos","Sled push/pull","Intermedio","Trineo con peso","Empujar un trineo cargado (o tirar de él con arnés/cuerda) lo más rápido posible – entrena potencia de piernas y acondicionamiento"
"197","Pliométricos","Thruster","Intermedio","Barra","Combinación de sentadilla frontal y press de hombros: al levantarse de la sentadilla empujar la barra por encima de la cabeza en un solo movimiento fluido"
"198","Pliométricos","Thruster con banda","Avanzado","Banda elástica","Sentadilla con banda seguida de press vertical: realizar una sentadilla pisando una banda elástica y, al subir, extender brazos por encima de la cabeza contra la resistencia de la banda"
"199","Pliométricos","Wall ball (lanzamiento vertical)","Principiante-Intermedio","Balón medicinal","Desde posición de sentadilla profunda, impulsarse hacia arriba lanzando un balón medicinal contra la pared a cierta altura, atrapar al rebote y repetir"
"200","Pliométricos","Zancadas con salto","Intermedio","Peso corporal","Desde una zancada, saltar explosivamente cambiando en el aire la posición de las piernas, aterrizando en una zancada con la pierna contraria al frente"
